movieId,tag
60756,funny
60756,Highly quotable
60756,will ferrell
89774,Boxing story
89774,MMA
89774,Tom Hardy
106782,drugs
106782,Leonardo DiCaprio
106782,Martin Scorsese
48516,way too long
431,Al Pacino
431,gangster
431,mafia
1221,Al Pacino
1221,Mafia
5995,holocaust
5995,true story
44665,twist ending
52604,Anthony Hopkins
52604,courtroom drama
52604,twist ending
88094,britpop
88094,indie record label
88094,music
144210,dumpster diving
144210,Sustainability
1569,romantic comedy
1569,wedding
118985,painter
119141,bloody
109487,black hole
109487,sci-fi
109487,time-travel
2,fantasy
2,magic board game
2,Robin Williams
110,beautiful scenery
110,epic
110,historical
110,inspirational
110,Medieval
410,black comedy
410,Christina Ricci
410,Christopher Lloyd
410,dark comedy
410,family
2023,Al Pacino
2023,Andy Garcia
2023,Classic
2023,Francis Ford Coppola
2023,mafia
2124,black comedy
2124,Christina Ricci
2124,Christopher Lloyd
2124,Family
2124,gothic
2953,family
2953,funny
2953,Macaulay Culkin
2953,sequel
3114,animation
3114,Disney
3114,funny
3114,original
3114,Pixar
3578,ancient Rome
3578,Epic
3578,history
3578,imdb top 250
3578,revenge
4223,Ed Harris
4223,Jude Law
4223,Rachel Weisz
4223,sniper
4223,World War II
5388,Al Pacino
5388,atmospheric
5388,Hilary Swank
5388,Robin Williams
6058,sequel
6058,violent
6534,dogs
6534,Eric Bana
6534,mad scientist
6534,marvel
6541,captain nemo
6541,comic book
6541,gothic
6541,Peta Wilson
6541,Sean Connery
6564,adventure
6564,Angelina Jolie
6564,heroine in tight suit
7153,Adventure
7153,ensemble cast
7153,fantasy
7153,fantasy world
7153,great soundtrack
8641,hilarious
8641,Steve Carell
8641,Will Ferrell
27660,animation
27660,anime
27660,cyberpunk
27660,dark
27660,Matrix
27706,dark comedy
27706,Jim Carrey
27706,meryl streep
27706,quirky
27706,stylized
27808,Adam Sandler
27808,family
27808,sweet
27831,British gangster
27831,confusing
27831,daniel craig
27831,Exquisite plotting.
27831,organized crime
31658,anime
31658,fantasy world
31658,Hayao Miyazaki
31658,Studio Ghibli
33162,David Thewlis
33162,Eva Green
33162,Liam Neeson
33162,Orlando Bloom
34150,Chris Evans
34150,comic book
34150,heroine in tight suit
34150,Jessica Alba
34150,sexy female scientist
37729,gothic
37729,helena bonham carter
37729,Johnny Depp
37729,Tim Burton
37729,visually appealing
38061,black comedy
38061,clever
38061,fast-paced dialogue
38061,good dialogue
38061,Robert Downey Jr.
45447,adventure
45447,Audrey Tautou
45447,conspiracy theory
45447,Mystery
45447,Paris
46723,Brad Pitt
46723,cate blanchett
46723,multiple storylines
46723,social commentary
46972,Ben Stiller
46972,Robin Williams
46976,emma thompson
46976,Maggie Gyllenhaal
46976,modern fantasy
46976,romance
46976,surreal
49130,Marion Cotillard
49530,Africa
49530,corruption
49530,Jennifer Connelly
49530,justice
49530,Leonardo DiCaprio
53464,bad acting
53464,bad jokes
53464,bad plot
53464,Chris Evans
53464,Jessica Alba
58047,Rachel Weisz
58047,Ryan Reynolds
59501,fantasy
59501,lion
59501,narnia
59501,Tilda Swinton
60074,bad script
60074,Charlize Theron
60074,Will Smith
60126,Anne Hathaway
60126,Steve Carell
60756,comedy
60756,funny
61024,comedy
61024,James Franco
61024,Seth Rogen
61024,Stoner Movie
63992,audience intelligence underestimated
63992,boring
63992,chick flick
63992,overrated
63992,Teen movie
68848,Adrien Brody
68848,con artists
68848,funny
68848,interesting characters
68848,Mark Ruffalo
71535,Bill Murray
71535,dark comedy
71535,Emma Stone
71535,funny
71535,Jesse Eisenberg
87430,audience intelligence underestimated
87430,CGI
87430,cheesy
87430,comic book
87430,DC
88405,comedy
88405,funny
88405,happy ending
88405,HOT actress
88405,Justin Timberlake
96861,Istanbul
96861,Liam Neeson
96861,predictable
96861,Turkey
96861,unnecessary sequel
99114,action
99114,Christoph Waltz
99114,funny
99114,good soundtrack
99114,Great performances
103042,Amy Adams
103042,superhero
104863,daniel radcliffe
104863,zoe kazan
107348,comedy
107348,Steve Carell
107348,stupid but funny
107348,will ferrell
108190,anti-intellectual
108190,bad writing
108190,dystopia
108190,new society
108190,plot holes
111743,Charlize Theron
111743,Liam Neeson
111743,Seth MacFarlane
111743,witty
114180,action
114180,dystopia
114180,plot holes
114180,post-apocalyptic
114180,survival
115149,dark hero
115149,gun-fu
115149,Keanu Reeves
115149,Revenge
115149,secret society
116897,black comedy
116897,dark comedy
116897,dark humor
116897,ironic
116897,multiple short stories
119141,bromance
119141,comedy
119141,funny
119141,James Franco
122912,comic book
122912,Dr. Strange
122912,Great villain
122912,Guardians of the Galaxy
122912,Marvel
128360,characters
128360,Dialogue
128360,humor
128360,Kurt Russell
128360,Quentin Tarantino
135133,dystopia
135133,Jennifer Lawrence
135133,love story
135133,nonsense
135133,politics
135518,Ben Kingsley
135518,ethics
135518,immortality
135518,ryan reynolds
135536,Bad story
135536,Bad writing
135536,Batman
135536,Ben Affleck
135536,comic book
136864,action
136864,batman
136864,ben affleck
136864,dark
136864,dc comics
139385,leonardo DiCarpio
139385,survival
139385,tom hardy
139385,visually appealing
158966,building a family
158966,creative
158966,freedom
158966,good writing
158966,individualism
168248,action
168248,dark hero
168248,gun tactics
168248,hitman
168248,Keanu Reeves
174053,Dystopia
174053,future
174053,interesting
174053,jon hamm
174053,thought provoking
179401,Action
179401,Comedy
179401,Dwayne Johnson
179401,funny
183611,Comedy
183611,funny
183611,Rachel McAdams
184471,adventure
184471,Alicia Vikander
184471,video game adaptation
187593,Josh Brolin
187593,Ryan Reynolds
187593,sarcasm
187595,Emilia Clarke
187595,star wars
260,classic
260,space action
260,action
260,sci-fi
260,EPIC
296,good dialogue
296,great soundtrack
296,non-linear
4896,Everything you want is here
106489,adventure
101142,animation
101142,funny
101142,stone age
115617,animation
115617,kids
115617,robots
120635,action
120635,murder
120635,police
1726,Kevin Costner
1726,Post apocalyptic
2387,dark comedy
2387,dark humor
3052,irreverent
3052,jay and silent bob
3052,Kevin Smith
3052,satire
5088,irreverent
7022,based on a book
7022,bloody
7022,brutal
7022,controversial
7022,dystopia
7254,alternate reality
7254,sci-fi
7254,science fiction
7254,time travel
8957,brutal
8957,clever
8957,Disturbing
8957,great ending
8957,mindfuck
9010,cruel characters
42632,brutality
58301,dark humor
60950,threesome
62434,Seth Rogen
62434,Sexual Humor
67695,Seth Rogen
100083,embarassing scenes
100083,offensive
100083,R language
100083,sarcasm
100083,satire
156371,80's
158872,Crude humor
158872,mindfuck
158872,sarcasm
158872,satire
158872,Vulgar
3556,sofia coppola
6323,John Cusack
6367,Ewan McGregor
6367,Renee Zellweger
59103,jackie chan
59103,kung fu
52287,Something for everyone in this one... saw it without and plan on seeing it with kids!
293,assassin
293,Jean Reno
54286,assassin
54286,assassin-in-training (scene)
54286,espionage
54286,Robert Ludlum
104,test tag
115617,feel-good
115617,fun family movie
2579,black and white
2579,Christopher Nolan
2579,directorial debut
2579,mindfuck
2579,not linear
3793,action
3793,comic book
3793,hugh jackman
3793,marvel
3793,superhero
4226,dark
4226,Mindfuck
4226,nonlinear
4226,psychology
4226,twist ending
4896,alan rickman
4896,harry potter
4896,humorous
4896,Magic
5388,atmospheric
6283,amazing artwork
6283,anime
6283,sci-fi
27156,anime
27156,end of the world
27156,epic
27156,mecha
27156,psychology
193565,anime
193565,comedy
193565,gintama
193565,remaster
4878,atmospheric
4878,cult film
4878,dreamlike
4878,hallucinatory
4878,psychological
7147,dreamlike
7147,sentimental
7147,surreal
7147,Tim Burton
7361,alternate reality
7361,memory
7361,thought-provoking
97938,cinematography
97938,India
97938,surreal
6938,big wave
6938,surfing
48780,ummarti2006
126548,funny
126548,high school
68319,comic book
3,moldy
3,old
527,moving
1101,predictable
50872,a clever chef rat
50872,inspirational
102007,animation
118696,hope
6711,atmospheric
4034,drugs
4995,mathematics
6502,zombies
6953,DEPRESSING
8641,stupid
34405,predictable
55721,Favelas
83134,black comedy
778,based on a book
778,dark comedy
778,narrated
4612,reciprocal spectator
4708,reciprocal spectator
6400,documentary
48698,the catholic church is the most corrupt organization in history
64034,childish naivity
64034,friendship
68954,adventure
68954,Bechdel Test:Fail
68954,cartoon
68954,children
68954,computer animation
71494,Narrative pisstake
81158,american idolatry
82459,atmospheric
82459,Coen Brothers
82459,Jeff Bridges
82459,Matt Damon
82459,predictable
90769,celebrity fetishism
90769,mediacentralism
90769,system holism
96084,city politics
96084,italy
96084,political right versus left
