,movieId,popularidade
0,356,329
1,318,317
2,296,307
3,593,279
4,2571,278
5,260,251
6,480,238
7,110,237
8,589,224
9,527,220
10,2959,218
11,1,215
12,1196,211
13,2858,204
14,50,204
15,47,203
16,780,202
17,150,201
18,1198,200
19,4993,198
20,1210,196
21,858,192
22,457,190
23,592,189
24,5952,188
25,2028,188
26,7153,185
27,588,183
28,608,181
29,2762,179
30,380,178
31,32,177
32,364,172
33,1270,171
34,377,171
35,3578,170
36,4306,170
37,1580,165
38,590,164
39,648,162
40,344,161
41,4226,159
42,367,157
43,58559,149
44,6539,149
45,1214,146
46,595,146
47,1036,145
48,500,144
49,165,144
50,79132,143
51,1265,143
52,1197,142
53,6377,141
54,1704,141
55,316,140
56,2628,140
57,1721,140
58,1291,140
59,153,137
60,1136,136
61,597,135
62,1193,133
63,293,133
64,231,133
65,3793,133
66,10,132
67,4886,132
68,6874,131
69,1089,131
70,1240,131
71,7361,131
72,1221,129
73,2329,129
74,34,128
75,1200,126
76,1213,126
77,1682,125
78,8961,125
79,541,124
80,736,123
81,4995,123
82,1097,122
83,5349,122
84,2683,121
85,733,121
86,2716,120
87,5445,120
88,4973,120
89,1206,120
90,4963,119
91,1073,119
92,33794,116
93,1527,116
94,586,116
95,5989,115
96,587,115
97,208,115
98,1968,113
99,185,112
100,5418,112
101,3147,111
102,3996,110
103,2,110
104,349,110
105,7438,110
106,253,109
107,1258,109
108,2918,109
109,924,109
110,4878,109
111,329,108
112,2115,108
113,4896,107
114,1208,107
115,48516,107
116,1732,106
117,539,106
118,68954,105
119,1923,105
120,111,104
121,60069,104
122,39,104
123,223,104
124,357,103
125,2706,103
126,161,103
127,6,102
128,1222,102
129,5816,102
130,778,102
131,292,101
132,454,101
133,434,101
134,4022,100
135,1517,100
136,44191,100
137,912,100
138,104,99
139,2997,99
140,339,98
141,72998,97
142,3114,97
143,750,97
144,2987,97
145,1617,97
146,1784,96
147,6365,96
148,1961,96
149,3949,96
150,2502,94
151,4027,94
152,59315,94
153,8368,93
154,551,93
155,4011,93
156,2396,92
157,5378,92
158,288,92
159,8360,92
160,2355,92
161,919,92
162,1917,92
163,2797,91
164,1356,91
165,2174,91
166,1259,91
167,3948,91
168,1387,91
169,1610,90
170,48780,90
171,1080,89
172,21,89
173,2012,88
174,2324,88
175,19,88
176,2916,88
177,68157,88
178,2617,87
179,2011,87
180,2791,87
181,5618,87
182,1653,86
183,141,86
184,1246,86
185,1391,86
186,1307,85
187,1393,85
188,5218,85
189,904,84
190,95,84
191,410,84
192,1220,84
193,32587,84
194,1219,83
195,3897,83
196,1101,83
197,788,82
198,16,82
199,1584,82
200,49272,81
201,54286,81
202,442,81
